X,Y,Z
5163.654,17806.949,-20.824
7162.637,13691.368,30.552
7151.961,21827.273,8.181
8252.843,21644.145,60.295
8513.729,23733.555,10.348
10842.559,16357.923,78.509
11197.966,19684.672,248.749
11537.058,17217.621,113.717
12020.039,14478.626,153.453
12485.791,18181.768,134.652
12823.159,22922.088,110.971
13080.385,26943.959,-31.732
16436.379,15801.242,70.452
7235.468,15991.762,110.671
7450.867,14789.748,102.963
8272.803,21615.4,25.294
8339.223,16833.92,74.394
8512.503,23730.785,16.411
8993.433,17736.004,165.603
11190.477,25271.031,47.273
12013.554,14490.424,192.98
12352.042,18157.898,127.033
12478.924,23352.68,74.2
12500.021,17896.461,221.777
13086.702,26931.775,85.614
14281.787,22279.658,82.57
14867.194,23503.738,97.654
15597.981,22716.084,128.699
16648.684,21986.855,79.191
6109.757,20362.352,22.887
7233.116,16989.227,70.367
7296.229,16033.099,156.153
7623.172,14166.821,54.887
7793.867,20413.477,-7.866
8272.229,21629.156,26.747
8485.104,23244.211,9.306
8798.46,15314.875,123.105
10506.761,18126.203,152.331
11197.581,18906.545,121.762
11137.691,24668.014,37.318
12474.262,23342.072,78.34
13275.968,22251.578,92.723
13759.099,27179.336,78.265
15074.883,22024.588,75.254
15019.635,23330.574,83.595
15760.769,21369.289,153.443
16348.111,15923.653,51.016
16413.959,27290.613,7.755
5988.208,18294.312,68.815
6119.896,20369.568,-7.133
6793.265,14568.614,96.587
7606.189,22814.693,-11.022
7782.833,20415.492,24.369
8935.997,15241.131,2.698
11259.628,18760.25,29.332
13039.243,21035.9,40.553
13162.438,22236.5,-9.874
13703.773,17186.1,32.662
14736.542,17747.107,8.522
14578.168,22618.285,-2.686
15778.731,21363.336,44.766
5415.766,22397.426,177.11
7054.579,22005.174,105.982
7481.055,18132.361,-8.825
9112.093,16494.877,-31.306
13147.104,19994.771,57.153
13157.269,22235.918,0.967
13427.73,16555.824,270.964
13753.267,17182.096,92.036
15380.17,25714.623,-24.323
3394.238,16741.855,16.454
5400.005,22406.719,82.449
5528.257,20064.57,45.832
6227.833,18578.41,40.542
8298.071,18969.168,7.12
9943.217,21359.398,1.008
13566.976,22297.863,-30.636
15382.631,25708.574,-1.812
15566.818,16816.475,68.84
5169.473,17864.01,46.34
5410.371,22412.291,168.16
11369.479,17197.09,80.177
11925.787,20279,117.531
12068.892,19256.4,59.796
12505.412,25857.789,74.107
13651.583,17081.732,17.138
14999.42,25595.412,67.269
16276.18,17253.289,-4.985
16922.02,14246.923,301.767
5205.914,17860.74,8.041
5463.445,19985.795,-23.563
6099.196,13868.676,96.039
8377.47,23713.012,165.226
8766.415,15327.697,58.401
9917.839,15296.396,-11.95
9913.732,21301.773,78.561
10059.693,19901.086,28.633
11916.816,20275.621,154.16
12030.924,19301.42,84.078
13480.136,21148.229,25.08
14477.697,27110.188,119.672
4141.335,17311.996,30.907
5445.497,17699.574,47.465
5375.114,20610.717,6.662
6105.69,13868.437,53.949
6611.764,20719.461,30.911
9970.101,21611.406,73.627
9913.959,15325.868,112.297
10384.895,24482.564,1.354
10575.577,18144.287,-41.584
10688.577,16618.605,-11.494
11249.978,18777.064,-4.753
11856.902,18408.605,41.414
14641.205,22563.559,116.542
5184.019,21353.012,50.584
5554.497,20179.66,34.818
7674.978,14218.028,38.729
7850.958,19570.25,108.683
10128.109,24345.77,29.25
11246.844,18768.857,444.795
12552.359,16889.482,129.422
14147.247,17631.672,82.967
14624.599,27547.795,179.2
14787.864,26666.145,166.538
15969.271,26340.949,13.27
17047.625,16523.822,91.596
4277.107,14514.786,125.028
5791.928,18590.674,28.531
7097.968,15009.528,17.524
8600.823,22569.938,60.197
11578.524,24839.943,17.413
12424.863,18292.441,35.026
12822.341,17199.715,143.899
13946.37,24968.859,11.678
14381.072,17451.143,100.718
16764.029,23571.986,100.85
5538.263,20028.732,-42.679
6556.217,17151.545,50.972
7041.858,16739.311,22.853
7432.221,18217.57,32.895
8664.844,22582.197,-25.681
9313.254,14224.369,35.683
10116.862,17360.596,22.819
10195.415,24260.439,-11.58
11679.972,24500.732,30.386
12666.802,17334.934,12.985
13179.205,26780.652,32.975
13886.673,27700.361,211.47
13961.354,25058.617,90.156
14389.326,17457.637,83.689
15019.449,18977.568,168.141
15965.543,23685.145,47.659
16025.003,26364.387,89.836
16169.562,18203.773,-46.869
5508.873,16619.424,12.141
5486.24,17861.824,9.8
5597.875,18843.428,3.193
5627.035,20173.375,-6.429
7758.506,19035.42,112.125
8438.423,15178.058,3.668
10114.672,17307.094,10.282
10880.639,19209.086,416.732
13852.695,27696.621,333.953
14357.479,17464.992,246.606
14353.379,22264.271,145.722
14616.586,27540.883,2.079
14997.34,23386.146,14.55
15049.171,21034.82,19.598
5516.518,16561.701,-41.184
6598.522,17023.395,-38.761
7304.218,14877.633,88.178
7772.025,20325.58,32.944
8313.571,13893.54,44.52
8469.706,15188.538,16.193
9629.44,22477.758,-46.337
10105.063,17351.982,64.752
12202.171,19122.621,148.112
12168.656,24805.07,-4.001
13715.38,23227.863,165.803
16350.372,16363.553,2.42
16411.072,23865.361,-3.91
7433.662,18179.08,86.942
7757.476,20328.146,48.111
8554.923,15202.543,383.84
9016.601,17688.5,8.428
10261.315,24475.406,9.114
11450.619,20798.621,206.324
11413.126,22501.926,95.04
11834.939,16966.182,2.572
12079.344,25223.607,64.81
14586.44,27545.844,241.811
14793.981,18018.588,315.257
15035.131,21639.617,70.243
16076.997,19039.914,-0.518
6163.861,13837.973,67.827
6755.602,14554.44,74.402
7310.333,16022.635,48.435
7434.633,18146.115,-15.531
8260.068,18897.125,321.379
8309.07,22044.148,43.268
9143.353,20179.133,131.802
9936.531,21623.727,8.191
9984.461,16523.812,111.995
10244.865,24451.32,-39.835
10471.604,18106.789,84.396
12142.709,24357.504,107.331
14163.781,27410.195,262.508
15810.156,26280.463,20.802
8262.909,18896.793,175.099
8786.098,15219.349,50.189
9503.968,22414.383,13.142
10471.908,18115.234,89.481
10718.143,20737.164,147.104
11770.245,20420.418,255.152
12205.824,16986.443,114.459
14178.21,24232.408,14.288
14610.272,27562.135,57.009
14869.106,17754.504,32.789
15027.461,19093.195,42.247
15483.966,24956.199,35.807
15753.188,21383.289,27.811
15920.069,26185.211,29.909
4359.112,16789.217,-1.131
7215.29,20609.748,300.131
7964.28,19612.465,-19.449
8280.333,13896.121,-37.087
10523.479,26855.18,17.327
11851.457,16992.148,48.342
12788.062,21210.842,84.034
12911.725,17104.885,72.324
13862.829,16054.738,138.105
14176.935,24243.139,96.769
14604.795,27561.143,86.45
15719.57,21322.391,-1.135
15630.133,22620.166,68.964
15906.181,26225.926,5.838
6037.703,18755.279,20.808
6980.998,19466.426,4.934
7221.864,20632.109,381.14
7956.74,19617.984,9.087
9973.588,15243.914,-6.895
10706.029,20729.986,-16.978
11197.349,24639.621,24.125
12504.346,25827.891,20.529
12800.623,21208.305,91.673
14627.375,27553.189,102.153
16602.926,15827.058,-1.157
7956.248,19619.76,25.987
9969.674,15234.928,29.348
10560.047,25667.895,-2.809
10691.836,20732.428,249.732
12293.013,19320.967,81.899
12806.065,23033.102,83.967
14911.67,25380.188,-41.174
15009.718,15502.638,-5.038
16164.879,18221.676,154.874
16401.973,27187.969,-20.074
5488.405,17831.727,49.671
5718.929,21095.615,19.505
8439.171,22543.184,55.278
8545.998,16063.859,37.565
8695.843,15334.975,-27.352
11051.242,19037.199,91.199
12746.215,20097.65,150.855
13022.246,24808.73,54.272
14229.235,20386.609,101.004
14516.838,15522.689,102.176
14603.565,27554.977,55.118
15397.775,22738.643,-5.602
16159.414,18242.641,53.325
4140.227,15397.646,86.185
4200.044,20149.711,128.601
5494.542,17839.234,2.025
6748.857,23470.139,15.537
7089.959,14831.579,29.25
8224.973,23651.027,-36.631
9214.848,20042.242,268.334
12732.699,21072.521,224.722
12641.42,25145.053,11.212
14221.914,20376.424,170.039
15154.495,25509.965,30.374
4156.004,15364.948,185.1
7817.799,14123.805,85.519
8888.168,14699.374,144.62
8936.119,15399.199,-10.76
10713.71,20722.684,229.49
11354.394,17157.598,26.363
12180.572,17500.951,-47.64
12418.787,18264.662,2.892
16393.719,16732.473,12.972
4454.772,18244.242,1.335
6087,21607.881,-31.415
6681.851,14674.402,-18.964
8947.919,25321.48,126.075
9557.005,18786.406,-35.352
9984.262,19999.201,58.52
12893.162,17168.912,325.706
14097.701,26940.391,21.759
14436.971,17958.691,-2.636
14379.204,22252.383,73.088
14710.473,24568.93,60.241
16394.465,16740.174,37.732
16859.295,14247.526,173.36
5250.416,17724.393,42.496
6173.953,22175.041,64.175
7187.736,15443.885,111.345
7802.437,19165.451,-1.237
8824.743,14597.851,-29.576
9610.076,17626.557,39.761
11259.139,19664.496,37.876
12615.733,18196.016,55.232
14880.276,23440.842,106.916
15094.391,22015.955,-6.82
15657.941,26967.172,440.057
16802.299,20167.902,236.609
16845.158,24307.312,55.077
4433.954,18252.184,33.541
6192.921,13927.086,-11.518
6926.178,19434.861,74.855
7318.063,16026.227,-7.049
7771.649,19103.705,30.986
8311.875,16883.553,-33.309
8500.133,14039.075,-21.293
8907.041,14638.876,2.067
10573.389,25661.004,70.598
12484.37,25829.1,0.876
14621.003,27544.824,139.462
15272.669,19692.41,184.23
15970.081,26339.488,10.345
16323.392,15938.548,224.88
16286.695,23853,48.975
16543.039,21953.166,75.838
4419.78,18249.127,16.305
4563.444,14761.07,16.976
7014.985,21960.539,75.112
7739.885,16616.295,24.066
9217.48,16554.145,179.669
10373.103,19153.725,108.7
10622.203,20253.527,231.198
11807.084,17578.977,186.626
13067.386,23426.861,70.565
15249.117,22012.93,35.346
15893.937,26190.428,35.443
16364.218,23821.926,4.878
6694.059,23174.635,83.099
6785.006,21164.082,4.716
7015.635,16589.963,135.704
8257.6,16950.137,-30.163
10869.661,16415.941,28.173
11111.58,24596.383,56.213
12227.879,21853.316,212.261
12965.245,24809.645,9.124
13625.146,22339.516,18.382
15069.78,21068.654,56.118
15149.729,22051.377,34.252
